,GM_DATE,HOME_TEAM,SPREAD_1_AWAY,ODDS_1_AWAY,SPREAD_2_AWAY,ODDS_2_AWAY,SPREAD_3_AWAY,ODDS_3_AWAY,SPREAD_4_AWAY,ODDS_4_AWAY,SPREAD_1_HOME,ODDS_1_HOME,SPREAD_2_HOME,ODDS_2_HOME,SPREAD_3_HOME,ODDS_3_HOME,SPREAD_4_HOME,ODDS_4_HOME
91,2021-11-01,Boston,+2½,-110,,-,+2,-108,+3½,-135,-2½,-110,,-,-2,-113,-4½,+105
92,2021-11-01,Memphis,+1,-110,,-,+1½,-110,-1,-110,-1,-110,,-,-1½,-112,+1,-110
93,2021-11-01,Minnesota,+9,-110,,-,+9,-110,+8½,-110,-9,-110,,-,-9,-110,-8½,-110
94,2021-11-02,Phoenix,,-,,-,,-,,-,,-,,-,,-,,-
95,2021-11-02,Utah,,-,,-,,-,,-,,-,,-,,-,,-
96,2021-11-02,L.A. Lakers,,-,,-,,-,,-,,-,,-,,-,,-
97,2021-11-02,Detroit,,-,,-,,-,,-,,-,,-,,-,,-
98,2021-11-02,Dallas,,-,,-,,-,,-,,-,,-,,-,,-
99,2021-11-03,Golden State,+6,-110,,-,+6,-114,+5,+105,-6,-110,,-,-6,-107,-5,-145
100,2021-11-03,Sacramento,+6,-110,,-,+5,-110,+5,+105,-6,-110,,-,-5,-112,-5,-145
101,2021-11-03,Minnesota,-2½,-110,,-,-2½,-112,-3½,+100,+2½,-110,,-,+2½,-109,+3½,-140
102,2021-11-03,San Antonio,-2,-110,,-,-2,-112,-4,+115,+2,-110,,-,+2,-110,+4,-160
103,2021-11-03,Memphis,,,,None,,None,,None,,,,None,,None,,None
104,2021-11-03,Orlando,,,,None,,None,,None,,,,None,,None,,None
105,2021-11-03,Indiana,,,,None,,None,,None,,,,None,,None,,None
106,2021-11-03,Philadelphia,,,,None,,None,,None,,,,None,,None,,None
107,2021-11-03,Washington,,,,None,,None,,None,,,,None,,None,,None
108,2021-11-03,Cleveland,,,,None,,None,,None,,,,None,,None,,None
109,2021-11-03,Brooklyn,,,,None,,None,,None,,,,None,,None,,None
110,2021-11-04,Phoenix,+11½,-110,,-,+10½,-109,+11½,-110,-11½,-110,,-,-10½,-113,-12½,-105
111,2021-11-04,Detroit,-4½,-110,,-,-4½,-110,-4½,-110,+4½,-110,,-,+4½,-110,+4½,-110
112,2021-11-04,Atlanta,-1½,-110,,-,-2,-109,-3,+115,+1½,-110,,-,+2,-112,+3,-160
113,2021-11-04,Miami,+6½,-110,,-,+6½,-110,+6,-105,-6½,-110,,-,-6½,-110,-6,-135
114,2021-11-04,L.A. Lakers,+10½,-115,,-,+11,-113,+11½,-140,-10½,-105,,-,-11,-108,-11½,+100
115,2021-11-05,Sacramento,,,,None,,None,,None,,,,None,,None,,None
116,2021-11-05,Golden State,,,,None,,None,,None,,,,None,,None,,None
117,2021-11-05,Portland,,,,None,,None,,None,,,,None,,None,,None
118,2021-11-05,Minnesota,,,,None,,None,,None,,,,None,,None,,None
119,2021-11-05,Milwaukee,,,,None,,None,,None,,,,None,,None,,None
120,2021-11-05,Washington,,,,None,,None,,None,,,,None,,None,,None
121,2021-11-05,Detroit,,,,None,,None,,None,,,,None,,None,,None
122,2021-11-05,Orlando,,,,None,,None,,None,,,,None,,None,,None
123,2021-11-05,Toronto,,,,None,,None,,None,,,,None,,None,,None
124,2021-11-06,Denver,+11½,-110,,-,+11½,-110,+11½,-110,-11½,-110,,-,-11½,-110,-11½,-110
125,2021-11-06,Miami,-1,-105,,-,+2,-109,-3,+120,+1,-115,,-,-2,-112,+1,-115
126,2021-11-06,Chicago,+4,-115,,-,+4,-109,+6,-165,-4,-105,,-,-4,-112,-6,+120
127,2021-11-06,Dallas,+3½,-110,,-,+3½,-109,+5½,-145,-3½,-110,,-,-3½,-112,-5½,+105
128,2021-11-06,Phoenix,+3½,-115,,-,+4,-109,+5,-160,-3½,-105,,-,-4,-112,-5,+115
129,2021-11-06,Portland,+5,-110,,-,+5½,-110,+5½,-110,-5,-110,,-,-5½,-110,-5½,-110
130,2021-11-07,L.A. Clippers,+6,-110,,-,+6,-110,+6,-110,-6,-110,,-,-6,-110,-4,-175
131,2021-11-07,Golden State,+12½,-110,,-,+13,-110,+11,+115,-12½,-110,,-,-13,-112,-14,+100
132,2021-11-07,Washington,-1,-110,,-,-1,-109,-1,-110,+1,-110,,-,+1,-112,+3,-160
133,2021-11-07,Oklahoma City,-3½,-110,,-,-4,-107,-5½,+105,+3½,-110,,-,+4,-114,+5½,-145
134,2021-11-07,New York,+7½,-110,,-,+7½,-110,+10,-175,-7½,-110,,-,-7½,-110,-10,+125
135,2021-11-07,Sacramento,+2½,-110,,-,+2½,-109,+3½,-140,-2½,-110,,-,-2½,-112,-3½,+100
136,2021-11-07,Toronto,-3½,-110,,-,-3½,-112,-3,-115,+3½,-110,,-,+3½,-109,+3,-105
137,2021-11-07,Orlando,-11,-110,,-,-11,-107,-9,-165,+11,-110,,-,+11,-114,+9,+120
138,2021-11-08,L.A. Lakers,+2½,-110,,-,+3,-114,+2½,-110,-2½,-110,,-,-3,-107,-2½,-110
139,2021-11-08,Sacramento,-3½,-110,,-,-3,-112,-3½,-110,+3½,-110,,-,+3,-109,+3½,-110
140,2021-11-08,Golden State,+3½,-110,,-,+3½,-109,+4½,-135,-3½,-110,,-,-3½,-112,-5½,+105
141,2021-11-08,Denver,-1½,-110,,-,-1½,-113,-3½,+115,+1½,-110,,-,+1½,-109,+3½,-160
142,2021-11-08,Memphis,+4½,-110,,-,+5½,-110,+4½,-110,-4½,-110,,-,-5½,-110,-4½,-110
143,2021-11-08,Chicago,-1,-110,,-,+1,-112,-1,-110,+1,-110,,-,-1,-109,+1,-110
144,2021-11-08,Philadelphia,-2,-110,,-,-3,-113,-1½,-118,+2,-110,,-,+3,-108,+1½,-118
145,2021-11-08,Dallas,+9,-110,,-,+8½,-110,+11,-160,-9,-110,,-,-8½,-110,-11,+115
146,2021-11-09,Philadelphia,-7,-110,,-,-6½,-114,-9,+140,+7,-110,,-,+6½,-108,+7,-115
147,2021-11-09,Utah,+8½,-110,,-,+8,-109,+10½,-150,-8½,-110,,-,-8,-112,-10½,+110
148,2021-11-09,L.A. Clippers,+3,-110,,-,+2½,-112,+5,-160,-3,-110,,-,-2½,-110,-5,+115
